spid,rating,COMMEQTA,LLPLOANS,COSTTOINCOME,ROE,LIQASSTA,SIZE
440402,5,0.054658,0.013144,0.30798,-0.14134,0.220968,17.7145
126418,5,0.071657,0.017788,0.6546,0.034723,0.50453,17.69
111703,5,0.051926,0.005334,0.49192,0.177273,0.103057,18.9661
105461,5,0.136171,0.009614,0.921623,-0.057103,0.048411,18.4209
111635,5,0.057433,0.005678,0.56498,0.144617,0.216681,19.3088
105765,5,0.033799,0.003993,1.07628,0.11096,0.320678,19.2525
104443,5,0.09171,0.004268,0.64503,0.110663,0.074649,17.5532
114352,5,0.024925,0.001378,1.18213,0.088633,0.638065,20.4772
101631,5,0.03546,0.005241,0.580797,0.162337,0.32521,19.7962
355047,5,0.044546,0.003564,0.578573,0.08229,0.285272,17.8011
324974,5,0.016465,0.003483,0.915195,-0.11638,0.536489,21.0578
100661,5,0.018092,0.002906,0.955373,0.08931,0.288493,21.3555
350639,6,0.008359,0.006228,0.264435,0.051485,0.299448,17.0154
117576,6,0.058527,0.005365,0.60492,0.106687,0.192343,18.0237
106019,6,0.080033,0.011207,0.668903,0.031827,0.056019,18.0396
112496,6,0.063577,0.015868,0.355697,0.063537,0.47533,16.2256
118431,6,0.0439,0.004449,0.66276,0.11416,0.118777,18.2821
110986,6,0.018912,0.001202,0.363677,-0.497617,0.105903,19.6781
377590,6,0.041032,0.000903,0.579483,-0.38733,0.297495,19.2052
108305,6,0.037847,0.002192,0.727667,0.147637,0.378799,18.2293
111255,6,0.120053,0.002724,0.56575,0.14307,0.097359,16.1234
110145,6,0.053926,0.006789,0.67064,0.120433,0.192625,18.9884
107128,6,0.022485,0.003754,0.6942,0.083067,0.174358,20.2398
107304,6,0.032554,0.003066,0.60139,0.171193,0.413413,18.0246
364610,6,0.08212,0.011316,0.57662,0.061497,0.061451,15.3274
389052,6,0.15827,0.009611,0.641637,0.023163,0.038563,17.6723
105518,6,0.109598,0.004847,0.549673,0.110053,0.033142,17.6059
310295,6,0.041613,0.001066,0.302455,0.137663,0.1556,16.922
111689,6,0.112483,0.050605,0.475977,0.501147,0.082415,16.6525
118467,6,0.035467,0.003209,0.529627,0.163623,0.140698,17.7203
102753,6,0.167733,0.002716,0.81814,0.025747,0.523013,17.2105
338959,6,0.031727,0.001172,0.619863,0.103667,0.069356,18.0693
108539,6,0.03234,0.002238,0.868333,-0.157707,0.213392,20.3261
108762,6,0.094947,0.017524,0.50448,0.04673,0.028554,17.4506
130137,7,0.1221,0.059014,0.55169,0.38401,0.11106,17.0056
361680,7,0.114305,0.004619,0.584843,0.114047,0.036632,15.6877
310471,7,0.085937,0.001028,0.674663,0.164247,0.044857,16.6248
105874,7,0.086935,0.012463,0.63888,0.06822,0.044795,17.3261
361374,7,0.027718,0.004141,0.8148,0.041983,0.135479,19.1408
322853,7,0.093845,0.006079,0.704733,0.095513,0.033867,15.9394
326002,7,0.029034,0.001059,0.56821,0.12059,0.280219,18.1569
105670,7,0.061132,0.006654,0.5369,0.168877,0.090058,16.2044
127879,7,0.177378,0.00103,0.670343,0.071407,0.104394,16.0922
306519,7,0.049371,0.007338,0.460667,0.114453,0.08873,17.0492
397556,8,0.047341,-0.000169,0.730753,0.06256,0.023851,15.3569
340841,8,0.057343,0.005667,0.532553,0.20292,0.187484,17.5738
105027,8,0.080851,0.021827,0.803793,0.029097,0.105278,17.0373
304963,8,0.05584,0.007829,0.4749,0.16819,0.126393,17.8449
336401,8,0.10872,0.015098,0.91,-0.05517,0.050798,17.9162
120338,8,0.048736,0.000492,0.602867,0.084907,0.228341,17.2502
110362,8,0.089029,0.004438,0.659123,0.111813,0.040334,15.5393
115909,9,0.122417,0.040415,0.521333,0.21577,0.112113,16.8983
109111,9,0.082444,0.017412,0.841883,-0.054473,0.094946,16.6953
316244,9,0.117238,0.003048,0.57384,0.128923,0.232619,16.3578
306139,9,0.109637,0.011144,0.557163,0.2586,0.133325,17.2891
319509,9,0.083465,0.012954,0.567193,0.075187,0.14771,16.062
109967,10,0.072279,0.009239,0.82363,0.09761,0.205654,15.6683
